District Name,District Code,Students,Students Disciplined,% 1 Day,% 2 to 3 Days,% 4 to 7 Days,% 8 to 10 Days,% > 10 Days
Abby Kelley Foster Charter Public (District),4450000,"1,437",2,,,,,
Abington,10000,"2,214",41,0.5,0.6,0.6,0,0
Academy Of the Pacific Rim Charter Public (District),4120000,544,6,0.6,0.6,0,0,0
Acton-Boxborough,6000000,"5,320",8,0.1,0,0.1,0,0
Acushnet,30000,940,6,0.4,0.1,0.1,0,0
Advanced Math and Science Academy Charter (District),4300000,974,13,0.5,0.6,0.2,0,0
Agawam,50000,"3,624",14,0.1,0.1,0,0.2,0
Alma del Mar Charter School (District),4090000,808,17,1.4,0.7,0,0,0
Amesbury,70000,"2,009",0,,,,,
Amherst,80000,"1,103",0,,,,,
Amherst-Pelham,6050000,"1,304",0,,,,,
Andover,90000,"5,695",15,0,0.2,0,0,0
Argosy Collegiate Charter School (District),35090000,579,23,2.1,1.4,0.5,0,0
Arlington,100000,"5,878",18,0.2,0.1,0.1,0,0
Ashburnham-Westminster,6100000,"2,284",30,0.5,0.4,0.3,0,0
Ashland,140000,"2,832",30,0.3,0.3,0.3,0,0.1
Assabet Valley Regional Vocational Technical,8010000,"1,149",36,0.7,1,0.3,0,1.1
Athol-Royalston,6150000,"1,561",41,1,0.3,1,0.2,0.2
Atlantis Charter (District),4910000,"1,313",2,,,,,
Attleboro,160000,"5,934",77,0.7,0.4,0.1,0,0
Auburn,170000,"2,575",23,0.1,0.6,0.2,0,0.1
Avon,180000,708,7,0.4,0.6,0,0,0
Ayer Shirley School District,6160000,"1,670",8,0.4,0,0.1,0,0
Barnstable,200000,"4,963",118,0.7,0.7,0.3,0.5,0.2
Baystate Academy Charter Public School (District),35020000,481,0,,,,,
Bedford,230000,"2,691",33,0.6,0.3,0.2,0.1,0.1
Belchertown,240000,"2,209",13,0.2,0.1,0.1,0,0
Bellingham,250000,"2,056",11,0.2,0.2,0,0,0
Belmont,260000,"4,536",3,,,,,
Benjamin Banneker Charter Public (District),4200000,345,0,,,,,
Benjamin Franklin Classical Charter Public (District),4470000,790,0,,,,,
Berkley,270000,896,0,,,,,
Berkshire Arts and Technology Charter Public (District),4140000,385,2,,,,,
Berkshire Hills,6180000,"1,205",2,,,,,
Berlin-Boylston,6200000,"1,088",8,0.3,0.3,0.2,0,0
Beverly,300000,"4,749",25,0.3,0.2,0,0,0
Billerica,310000,"4,748",24,0.1,0.2,0.1,0,0
Blackstone Valley Regional Vocational Technical,8050000,"1,236",3,,,,,
Blackstone-Millville,6220000,"1,618",45,1.2,1.1,0.2,0,0.2
Blue Hills Regional Vocational Technical,8060000,892,9,0.7,0.3,0,0,0
Boston,350000,"50,616",72,0.1,0,0,0,0
Boston Collegiate Charter (District),4490000,728,7,0.4,0.4,0.1,0,0
Boston Day and Evening Academy Charter (District),4240000,439,0,,,,,
Boston Green Academy Horace Mann Charter School (District),4110000,516,4,,,,,
Boston Preparatory Charter Public (District),4160000,674,0,,,,,
Boston Renaissance Charter Public (District),4810000,965,0,,,,,
Bourne,360000,"1,728",28,0.6,0.5,0.3,0.1,0
Boxford,380000,704,1,,,,,
Braintree,400000,"5,648",12,0.1,0,0.1,0,0
Brewster,410000,436,2,,,,,
Bridge Boston Charter School (District),4170000,342,5,,,,,
Bridgewater-Raynham,6250000,"5,467",56,0.3,0.4,0.2,0,0.1
Brimfield,430000,272,0,,,,,
Bristol County Agricultural,9100000,448,4,,,,,
Bristol-Plymouth Regional Vocational Technical,8100000,"1,321",40,1.4,0.6,0.5,0.5,0.1
Brockton,440000,"15,985",131,0.4,0.3,0.1,0,0
Brooke Charter School (District),4280000,"2,090",14,0.1,0.3,0.1,0,0
Brookfield,450000,274,0,,,,,
Brookline,460000,"7,115",14,0,0.1,0.1,0,0
Burlington,480000,"3,532",17,0.2,0.2,0.1,0,0
Cambridge,490000,"6,898",3,,,,,
Canton,500000,"3,252",29,0.4,0.3,0.2,0,0
Cape Cod Lighthouse Charter (District),4320000,256,1,,,,,
Cape Cod Regional Vocational Technical,8150000,649,55,2.9,0.9,2.9,0.8,0.9
Carlisle,510000,595,5,,,,,
Carver,520000,"1,525",20,0.5,0.5,0.2,0.2,0
Central Berkshire,6350000,"1,567",30,0.8,0.8,0.3,0,0
Chelmsford,560000,"4,975",21,0.2,0.1,0,0.1,0
Chelsea,570000,"6,387",0,,,,,
Chesterfield-Goshen,6320000,120,0,,,,,
Chicopee,610000,"7,151",54,0.2,0.3,0.2,0.1,0
Christa McAuliffe Charter Public (District),4180000,405,5,,,,,
City on a Hill Charter Public School Circuit Street (District),4370000,305,0,,,,,
Clarksburg,630000,195,3,,,,,
Clinton,640000,"1,920",21,0.5,0.2,0.4,0,0
Codman Academy Charter Public (District),4380000,356,0,,,,,
Cohasset,650000,"1,460",1,,,,,
Collegiate Charter School of Lowell (District),35030000,"1,048",33,2,1.1,0,0,0
Community Charter School of Cambridge (District),4360000,309,0,,,,,
Community Day Charter Public School - Gateway (District),4260000,402,1,,,,,
Community Day Charter Public School - Prospect (District),4400000,400,4,,,,,
Community Day Charter Public School - R. Kingman Webster (District),4310000,404,1,,,,,
Concord,670000,"2,059",7,0,0.2,0.1,0,0
Concord-Carlisle,6400000,"1,324",7,0.3,0,0.2,0,0
Conservatory Lab Charter (District),4390000,468,2,,,,,
Conway,680000,131,0,,,,,
Danvers,710000,"3,396",40,0.5,0.4,0.3,0,0.1
Dartmouth,720000,"3,509",23,0.1,0.4,0.1,0,0
Dedham,730000,"2,642",34,0.6,0.5,0.1,0.2,0
Deerfield,740000,327,0,,,,,
Dennis-Yarmouth,6450000,"2,892",11,0.2,0.1,0.1,0,0
Dighton-Rehoboth,6500000,"2,670",17,0.3,0.2,0.1,0,0
Douglas,770000,"1,209",10,0.2,0.4,0.2,0,0
Dover,780000,497,0,,,,,
Dover-Sherborn,6550000,"1,198",9,0.5,0.3,0,0,0
Dracut,790000,"3,796",61,0.5,0.7,0.3,0,0.1
Dudley Street Neighborhood Charter School (District),4070000,288,0,,,,,
Dudley-Charlton Reg,6580000,"3,560",20,0.1,0.3,0.1,0.1,0
Duxbury,820000,"2,835",15,0.2,0.2,0.1,0,0
East Bridgewater,830000,"2,146",16,0.2,0.2,0.2,0.1,0
East Longmeadow,870000,"2,475",10,0,0.2,0.2,0,0
Eastham,850000,207,0,,,,,
Easthampton,860000,"1,489",2,,,,,
Easton,880000,"3,491",13,0.1,0.3,0,0,0
Edgartown,890000,415,0,,,,,
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,404,0,,,,,
Erving,910000,117,0,,,,,
Essex North Shore Agricultural and Technical School District,8170000,"1,571",20,0.3,0.4,0.4,0.1,0
Everett,930000,"7,447",19,0.1,0.2,0,0,0
Excel Academy Charter (District),4100000,"1,412",1,,,,,
Fairhaven,940000,"1,973",3,,,,,
Fall River,950000,"10,677",238,0.7,0.7,0.5,0.3,0
Falmouth,960000,"3,123",27,0.5,0.2,0.1,0,0.1
Farmington River Reg,6620000,118,0,,,,,
Fitchburg,970000,"5,450",47,0.4,0.3,0.1,0,0
Florida,980000,87,0,,,,,
Four Rivers Charter Public (District),4130000,223,0,,,,,
Foxborough,990000,"2,528",33,0.4,0.3,0.3,0.2,0
Foxborough Regional Charter (District),4460000,"1,717",5,,,,,
Framingham,1000000,"9,231",50,0.2,0.2,0.1,0,0
Francis W. Parker Charter Essential (District),4780000,407,2,,,,,
Franklin,1010000,"4,924",29,0.5,0,0.1,0,0
Franklin County Regional Vocational Technical,8180000,560,15,1.1,1.3,0.4,0,0
Freetown-Lakeville,6650000,"2,805",40,0.5,0.6,0.2,0.1,0.1
Frontier,6700000,668,1,,,,,
Gardner,1030000,"2,368",15,0,0.2,0.3,0.1,0
Gateway,6720000,783,5,,,,,
Georgetown,1050000,"1,237",0,,,,,
Gill-Montague,6740000,887,0,,,,,
Global Learning Charter Public (District),4960000,512,3,,,,,
Gloucester,1070000,"2,894",7,0,0.1,0.1,0,0
Gosnold,1090000,8,0,,,,,
Grafton,1100000,"3,198",39,0.4,0.6,0.3,0,0
Granby,1110000,734,3,,,,,
Greater Fall River Regional Vocational Technical,8210000,"1,463",25,0.4,0.5,0.4,0.3,0.1
Greater Lawrence Regional Vocational Technical,8230000,"1,642",14,0.4,0.1,0.2,0.1,0
Greater Lowell Regional Vocational Technical,8280000,"2,309",41,0.4,0.5,0.7,0.1,0.1
Greater New Bedford Regional Vocational Technical,8250000,"2,118",85,1.7,0.8,1,0.3,0.2
